description,treatment_protocol_ch1,treatment_protocol_ch2,extract_protocol_ch1,extract_protocol_ch2
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,"Mammary tissues without lymph nodes from two mice of each genotype were collected, frozen in liquid nitrogen, and stored at -80 °C. Total RNA was extracted using TRIzol reagent, followed by a cleanup step using the RNeasy Plus Mini Kit (QIAGEN). Poly(A) RNA was purified twice from 1 mg total RNA and cDNA was synthesized using SuperScript II (Invitrogen) and TruSeq RNA Sample Preparation Kit (Illumina Inc., San Diego, CA), and sequenced using HiSeq 2000 (Illumina).",
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
,,,Total RNA was extracted using Qiagen RNA Mini kits according to the manufacturer's instructions.,
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
"Fertile_hpv6w_SP1_42 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the first of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv6w_SP4_26 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the second of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv6w_SP4.4_25 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the third of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv6w_SP17_27 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the fourth of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv6w_SP21_26 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the fifth of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv6w_SP26_30 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the sixth of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv6w_SP13_21 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the seventh of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv6w_SP23_26 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the eighth of eight, 6 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP2_26 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the first of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP3.3_24 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the second of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP5_26 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the third of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP11_25 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the fourth of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP25_26 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the fifth of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP29_25 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the sixth of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP2.2_25 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the seventh of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP27_24 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the eighth of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv7w_SP30_22 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the nineth of nine, 7 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
"Fertile_hpv8w_SP3_30 years;	This placental sample is of first  trimester normal pregnancy, underwent elective surgical termination. It is the first of eight, 8 weeks biological replicates sample, each from different individual woman.",,,"Placental samples were collected in sterile ice-cold phosphate buffered saline (PBS, pH 7.4). The tissue samples were quickly washed in ice-cold PBS to remove blood and debris, and separated from surrounding membranes, and villous portions were dissected from decidual and embryonic tissue under a dissecting microscope and further washed with sterile, cold PBS. The total RNA was extracted using Trizol (Agilent Technologies Singapore Pvt. Ltd., Shung Avenue, Singapore) and cleaned up with DNase I (Sigma Chemical Co., St. Louis, Missouri, USA) and subjected to re-extraction when it was necessary. The yield and purity of the extracted RNA was checked using standard spectrophotometric method and 1% agarose gel electrophoresis. Furthermore, RIN score of individual sample was determined using Bioanalyzer, RNA Chip kit and Software from Agilent Technologies (Santa Clara, CA, USA).",
