values,values1,values_celltype,values_disease,values_treatment
"71.1, 70.5, 69.8, 56, 68.1","71.1, 70.5, 69.8, 56, 68.1,",,,"pre-treatment, post-treatment"
"72 hag, 78 hag, 74 hag","72 hag, 78 hag, 74 hag,",,,"pre-treatment, previously treated, pre-interferon, post-interferon, unknown"
"72, 50, 70, 69, 66","72, 50, 70, 69, 66,",,,"prostvac, control, ixabepilone, paclitaxel, 13-cis-retinoic acid"
"72, 67, 57, 76, 50","72, 67, 57, 76, 50,",,,"pt dxed in 2002, pt dxed in 2007"
"74, 62, 76, 83, 45","74, 62, 76, 83, 45,",,,"radish sprout seeds were sterilized (5 min 70% ethanol, 10 min 1% naocl with 0.1% tween), then washed five times with sterile water and subsequently incubated in sterile ms medium without glucose in sterile plastic boxes (1 l total volume, passively aerated). after germination, seedlings were tested for sterility by plating a sample on lb agar. after 5 days of growth, the shoots were inoculated 10 min with 1 l __ concentrated ringer solution containing 103 cfu/ml ehec. the superfluous medium was decanted and cfu/g was periodically determined as followsinfected shoots were washed and bacterial numbers of the washing liquid were determined by serial dilution platings. after 120 hours, the transition from exponential to stationary phase could be determined. bacteria were harvested by gently shaking the seedlings in cold __-concentrated ringer (+1% tween-20
tenfold diluted lysogeny broth was used as reference medium. cells were harvested after 3.5 h at about 3.1 x 108 cfu/ml.
for nitrite, we added 200 mg/l sodium nitrite to 10-fold diluted lb and adjusted it to ph 6. harvest was after 6.5 h at 2.9 x 108 cfu/ml.
for spinach medium, whole spinach leaves were homogenized (agienda agricola pistelle, kaufland, germany) on ice using an ultraturrax d50. the mush was centrifuged (1 h, 30,000ê_g, 5_çc), decanted, filtered (2.5 _µm pore size), centrifuged (2 h, 30,000ê_g, 5_çc), decanted and sterile filtered (0.2 _µm). after 5 h of growth, we harvested the cells at 6.0 x 108 cfu/ml."
76 / 197,"76 / 197,",,,"recjf, exoi"
"76, 54, 64, 80, 51","76, 54, 64, 80, 51,",,,"repsox at 24 hours, repsox at 48 hours, repsox at 1 week, repsox at 10 hours, repsox during derivation"
"76, 74, 75, 28, 77","76, 74, 75, 28, 77,",,,"rrna depleted, tobacco acid pyrophosphatase (tap), no rna treatment, none, oxidised"
"78 years sexfemale, 74 years sexfemale, 87 years sexfemale","78 years sexfemale, 74 years sexfemale, 87 years sexfemale,",,,"rt, --, rt + rt"
"78, 68, 73, 48, 80","78, 68, 73, 48, 80,",,,"s, rt, s, s, crt, ic, s, rt, surgery"
"78, 70, 69, 88, 81","78, 70, 69, 88, 81,",,,"saline, lactobacillus pentosus b240"
"79, 83, 73, 71, 77","79, 83, 73, 71, 77,",,,"same end point, not same day, same start point"
"7m, 6.9m, 5m, 4m, 5.9m","7m, 6.9m, 5m, 4m, 5.9m,",,,scrambled control
"8 weeks, approximately 14 days, 6 to 8 weeks, 6-8 weeks, adult","8 weeks, approximately 14 days, 6 to 8 weeks, 6-8 weeks, adult,",,,"sea water, pic, mdp"
"8 weeks, na, 48, 53, 49","8 weeks, na, 48, 53, 49,",,,"shrna infected cells, cultured with anticd3 cd28 beads and collected at various time points, purified by cell sorting (cd4+ gfp+), purified by cell sorting (cd4+ gfp-), lmna knock-down (cultured)"
8-week old,"8-week old,",,,"silica, air control, iraqi sand"
"8-yrs, 8, 2-yrs, 9, 9-yrs","8-yrs, 8, 2-yrs, 9, 9-yrs,",,,"siv dna vaccine, no vaccine (control), siv dna vaccine with rantes adjuvant"
"8, 32, 16, 72, 15","8, 32, 16, 72, 15,",,,"sonicated and immunoprecipitated with anti-5-methyl cytidine antibody (diagnode, liê©ge, belgium), sonicated, sonicated and immunoprecipitated with anti-5-methyl cytidine antibody (diagenode, liê©ge, belgium)"
"8.1, 9.5, 6.1, 10.1, 12","8.1, 9.5, 6.1, 10.1, 12,",,,"ssrnase (rnase one), dsrnase (rnase v1), none"
"8.5, 10.5","8.5, 10.5,",,,"statin alone, fenofibric acid+statin, control, fenofibric acid, untreated"
"87, 71, 140, 97, 161","87, 71, 140, 97, 161,",,,"subcutaneous with osmotic pump, untreated"
"89, 80, 81, 87, 76","89, 80, 81, 87, 76,",,,tamoxifen
92-114 weeks postinoculation,"92-114 weeks postinoculation,",,,"taxol x 12 fac x 4, fac x 6, fec x 6, paclitaxel x(12 ) + fec x(4 ), fec x(6 )"
"96, 60, 48, 72, 13","96, 60, 48, 72, 13,",,,"taxol x 12 fac x 4, paclitaxel x 12, fac x 4, taxol x 12 fec x 4, paclitaxel x 12, fec x 4, taxol 80 mg/m2 x12 , fec x4"
"96, 72, 36, 60, 84","96, 72, 36, 60, 84,",,,test sample
"about 60 years, about 25 years","about 60 years, about 25 years,",,,"testosterone supplementation by implant, none, 11-ketotestosterone supplementation by implant"
"adult 8 weeks, immortal cells, embryonic day 0 (stem cell), embryonic day 14.5, embryonic day 11.5","adult 8 weeks, immortal cells, embryonic day 0 (stem cell), embryonic day 14.5, embryonic day 11.5,",,,"tet1 and tet2 knocked out, wt, tet1, tet2 and tet3 knocked out, heterozygous / tet1 and tet2 knocked out on one chromosome"
"adult male, 77/m, 60/m, 54/f, 2-3 month old males","adult male, 77/m, 60/m, 54/f, 2-3 month old males,",,,"tfac, tfec, txfac, th/fac, fac"
"adult, old, young, [53,58), [58,63]","adult, old, young, [53,58), [58,63],",,,treated with ecg for 48h and hcg for 12h
approximately 18 weeks old,"approximately 18 weeks old,",,,"untreated, 24 hours, 2 hours, 6 hours, 30 mins"
"cycling endometrium secretory phase, first trimester","cycling endometrium secretory phase, first trimester,",,,"untreated, 8hr, 2hr, 4hr, 6hr"
"day 100, end-stage, day 65, day 130, day 150","day 100, end-stage, day 65, day 130, day 150,",,,"untreated, ddc-treated"
day 19,"day 19,",,,"untreated, globinclear"
day 5 in vitro,"day 5 in vitro,",,,"untreated, treated"
"day 5, day 21, day 7","day 5, day 21, day 7,",,,"untreated, treated"
"day6, day0, day24","day6, day0, day24,",,,"vehicle control, estradiol + progesterone (e2p4), estradiol (e2), none, il-7/il-25/il-33 5 days+ etoh 2 days"
"day7, day 7, day 5, day 6, day 2","day7, day 7, day 5, day 6, day 2,",,,"vehicle, chronic low levodopa, chronic high levodopa, dmso, jq1"
"e10.5, e14.5, 10 weeks","e10.5, e14.5, 10 weeks,",,,"with, without"
e12.5,"e12.5,",,,yes
"e13.5, e11.5, 8-week, e3.5, e12.5","e13.5, e11.5, 8-week, e3.5, e12.5,",,,yes
"e14.5, tissue whole embryo excluding head and organs, week 11 of gestation, e17, 1 hour post fertilization, 7 hour post fertilization","e14.5, tissue whole embryo excluding head and organs, week 11 of gestation, e17, 1 hour post fertilization, 7 hour post fertilization,",,,"yes, -, no"
"e17.5, e14","e17.5, e14,",,,"yes, no"
eight weeks old,"eight weeks old,",,,"yes, no"
"fiber 2 dpa, fiber 10 dpa, fiber 20 dpa, npcs of neocortex from 3 littermates wild-type mouse embryos at e14, npcs of neocortex from 3 littermates ts1cje mouse embryos at e14","fiber 2 dpa, fiber 10 dpa, fiber 20 dpa, npcs of neocortex from 3 littermates wild-type mouse embryos at e14, npcs of neocortex from 3 littermates ts1cje mouse embryos at e14,",,,"yes, no, false, true"
"gestation day 75, gestation day 90, 30 days","gestation day 75, gestation day 90, 30 days,",,,"yes, no, untreated, treated, dox+"
"gte6, lt6","gte6, lt6,",,,
"heads after mid-anthesis, five weeks after grafting seven day-old seedlings","heads after mid-anthesis, five weeks after grafting seven day-old seedlings,",,,
"homozygous knockout (sirt1-/-), wild type (sirt1+/+), heterozygous knockout (sirt1+/-)","homozygous knockout (sirt1-/-), wild type (sirt1+/+), heterozygous knockout (sirt1+/-),",,,
male,"male,",,,
"n/a, 25, 22, 14, 17","n/a, 25, 22, 14, 17,",,,
"n/a, 26, 25, 28, 23","n/a, 26, 25, 28, 23,",,,
"n/a, 27 ,29, 24, 30","n/a, 27 ,29, 24, 30,",,,
"n/a, 44 days","n/a, 44 days,",,,
"n/a, 5, 6.6, 6.4, 3.9","n/a, 5, 6.6, 6.4, 3.9,",,,
"n/a, 62.75 (56-68)","n/a, 62.75 (56-68),",,,
"n/a, 65, 45, 48","n/a, 65, 45, 48,",,,
"na, 12, 5, 3, 14","na, 12, 5, 3, 14,",,,
"na, 24, 17, 54, 15","na, 24, 17, 54, 15,",,,
"na, 28, 12, 8, 11","na, 28, 12, 8, 11,",,,
"na, 28, 12, 8, 11","na, 28, 12, 8, 11,",,,
"na, 49, 48, 46, 42","na, 49, 48, 46, 42,",,,
"na, 66, 42, 38, 62","na, 66, 42, 38, 62,",,,
"na, 68, 70, 78, 73","na, 68, 70, 78, 73,",,,
"na, 73 days, 75 days, 54 days, 3 years","na, 73 days, 75 days, 54 days, 3 years,",,,
"na, 74 years, 70 years, 28, 64","na, 74 years, 70 years, 28, 64,",,,
"na, 80, 90, 86, 88","na, 80, 90, 86, 88,",,,
"na, 89, 80, 79, 82","na, 89, 80, 79, 82,",,,
"not available, 58, 61, 68, 59","not available, 58, 61, 68, 59,",,,
"null, 7.416666667, 12.16666667, 7.916666667, 9.833333333","null, 7.416666667, 12.16666667, 7.916666667, 9.833333333,",,,
"old, young, adult","old, young, adult,",,,
"p1, 120 days of fetal age, 1 day of life, 130 days of fetal age, 145 days of fetal age","p1, 120 days of fetal age, 1 day of life, 130 days of fetal age, 145 days of fetal age,",,,
"p30.5, e18.5","p30.5, e18.5,",,,
"pn14, pn1, pn7","pn14, pn1, pn7,",,,
pnd 22,"pnd 22,",,,
pnd 8,"pnd 8,",,,
pnd70,"pnd70,",,,
"week, day","week, day,",,,
"week, day, weeks","week, day, weeks,",,,
"weeks, pnd, days, weeks at start of exposure, years","weeks, pnd, days, weeks at start of exposure, years,",,,
"xenograft cells injected at 6-10 weeks, 4 months","xenograft cells injected at 6-10 weeks, 4 months,",,,
"young, adult, old, nonagenarian, ped","young, adult, old, nonagenarian, ped,",,,
"young, aged","young, aged,",,,
"young, middle-age, old","young, middle-age, old,",,,
